Date,Open,High,Low,Close,Adj Close,Volume
2011-09-22,69.940002,70.459999,68.169998,69.239998,43.616524,43223000
2011-09-23,68.459999,70.110001,67.930000,69.309998,43.660618,26583200
2011-09-26,70.010002,71.889999,69.500000,71.720001,45.178768,30342400
2011-09-27,73.330002,74.339996,72.419998,72.910004,45.928383,26689900
2011-09-28,72.430000,74.290001,71.860001,72.070000,45.399246,26026500
2011-09-29,73.120003,74.040001,72.669998,73.879997,46.539413,27713900
2011-09-30,72.760002,74.589996,72.629997,72.629997,45.751991,30917000
2011-10-03,72.050003,73.099998,71.150002,71.150002,44.819706,31004200
2011-10-04,70.250000,73.150002,69.209999,72.830002,45.877998,36500000
2011-10-05,72.669998,74.000000,72.209999,73.949997,46.583515,28239800
2011-10-06,73.300003,74.000000,72.629997,73.889999,46.545712,24869800
2011-10-07,74.470001,74.519997,73.029999,73.559998,46.337845,23573900
2011-10-10,74.730003,76.290001,74.650002,76.279999,48.051254,20465800
2011-10-11,75.779999,76.669998,75.709999,76.269997,48.044964,17862100
2011-10-12,76.739998,77.660004,76.309998,77.160004,48.605579,22239000
2011-10-13,76.220001,76.790001,75.839996,76.370003,48.107944,19540300
2011-10-14,77.099998,78.230003,77.070000,78.110001,49.204025,17870600
2011-10-17,77.870003,78.489998,77.120003,77.470001,48.800869,18836200
2011-10-18,77.570000,79.510002,77.019997,78.889999,49.695377,23878500
2011-10-19,78.570000,79.239998,77.919998,78.430000,49.405609,20910900
2011-10-20,78.320000,79.110001,77.830002,78.709999,49.581997,22227600
2011-10-21,79.589996,80.160004,79.180000,80.129997,50.476509,27855300
2011-10-24,79.919998,80.500000,79.550003,80.169998,50.501686,19861100
2011-10-25,79.830002,80.489998,79.050003,79.440002,50.041836,23433400
2011-10-26,80.160004,81.269997,79.279999,81.070000,51.068623,27170500
2011-10-27,81.910004,82.199997,80.690002,81.879997,51.578873,35489500
2011-10-28,80.989998,81.989998,80.440002,81.480003,51.326912,21753400
2011-10-31,80.589996,80.639999,78.000000,78.089996,49.191425,30616900
2011-11-01,75.820000,77.110001,75.449997,75.940002,47.837074,35835000
2011-11-02,77.370003,77.589996,76.500000,77.370003,48.737896,21761300
2011-11-03,78.190002,79.000000,77.440002,78.860001,49.676476,24480600
2011-11-04,78.070000,78.610001,77.379997,78.519997,49.462296,18192800
2011-11-07,78.820000,79.489998,78.120003,79.349998,49.985157,17998100
2011-11-08,79.250000,79.879997,78.629997,79.760002,50.542801,19023800
2011-11-09,77.900002,78.919998,77.029999,77.389999,49.040955,24130100
